着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,category
15,5,10,ターキッシュパレス,牡7,55,江里口裕,1:35.2,大,**,-,-,-,-,16-16-16,41.2,404.6,16,484(-4),,,,"[地]
橋本和馬",村田裕子,,202444030111,NAR
16,8,16,スーパーホープ,牡6,55,遠藤健太,1:35.3,1/2,**,-,-,-,-,12-12-15,45.0,57.4,11,524(+18),,,,"[地]
遠藤茂",葛西宣行,,202444030111,NAR
1,8,10,マルカンブロンド,牡5,57,笹川翼,1:46.4,,**,-,-,-,-,3-3-1-1,39.7,2.3,2,480(0),,,,"[地]
高野毅",斉藤勘介,260.0,202444030112,NAR
2,2,2,レイリ,牡5,57,森泰斗,1:47.2,4,**,-,-,-,-,6-6-3-2,40.4,1.6,1,535(+2),,,,"[地]
上杉昌宏",前田幸治,104.0,202444030112,NAR
3,5,5,エイノスケ,牡6,57,吉井章,1:48.3,5,**,-,-,-,-,8-8-6-4,40.7,18.2,4,498(-5),,,,"[地]
大宮和也",中田和宏,65.0,202444030112,NAR
4,7,8,ケイトップロード,牡9,57,東原悠善,1:49.0,3.1/2,**,-,-,-,-,5-4-5-5,42.0,40.1,6,497(-2),,,,"[地]
赤嶺本浩",伊原初,39.0,202444030112,NAR
5,7,7,ゴールドクレスト,牡7,53,神尾香澄,1:49.7,3.1/2,**,-,-,-,-,10-10-9-8,40.7,37.2,5,476(0),,,,"[地]
高野毅",薄井隆博,26.0,202444030112,NAR
6,8,9,シーニッククルーズ,牡6,54,木澤奨,1:51.5,9,**,-,-,-,-,2-2-2-3,44.8,151.7,8,518(-1),,,,"[地]
大宮和也",橘勝年,,202444030112,NAR
7,4,4,ニーケススマイル,牡7,55,中村尚平,1:52.3,4,**,-,-,-,-,7-7-7-7,44.4,181.5,10,453(+5),,,,"[地]
栗田裕光",酒井孝敏,,202444030112,NAR
8,6,6,コイビトサンタ,セ5,55,松崎正泰,1:52.7,2,**,-,-,-,-,1-1-4-6,45.9,11.8,3,522(-11),,,,"[地]
高野毅",（株）ＭＭＣ,,202444030112,NAR
9,1,1,マイネルダンク,セ6,55,栗原大河,1:53.7,5,**,-,-,-,-,4-5-8-9,45.5,124.6,7,447(-3),,,,"[地]
辻野豊",篠塚和郎,,202444030112,NAR
10,3,3,ワカタツフェイス,牝4,53,町田直希,1:56.5,大,**,-,-,-,-,9-9-10-10,47.5,175.1,9,449(+1),,,,"[地]
渡部則夫",酒井孝敏,,202444030112,NAR
1,8,10,バンクサイド,牡4,56,西啓太,1:57.3,,**,-,-,-,-,4-4-1-1,39.3,1.2,1,522(-3),,,,"[地]
荒井朋弘",大田恭充,80.0,202444060301,NAR
2,6,6,サンシップ,牡4,56,藤本現暉,1:58.5,6,**,-,-,-,-,2-2-2-2,40.3,9.0,3,461(-12),,,,"[地]
中道啓二",落畑健,32.0,202444060301,NAR
3,7,9,ウエイトジャッジ,牡6,56,笹川翼,1:59.4,4,**,-,-,-,-,6-6-4-3,41.1,14.2,4,548(-4),,,,"[地]
米田英世",村上卓史,20.0,202444060301,NAR
4,1,1,シャインヴィグラス,牝7,51,田中洸多,2:00.4,5,**,-,-,-,-,1-1-2-4,42.2,23.3,5,471(-7),,,,"[地]
橋本和馬",前田清二,12.0,202444060301,NAR
5,3,3,ノンファンジブル,セ4,56,遠藤健太,2:00.4,クビ,**,-,-,-,-,7-7-7-6,40.7,39.9,7,449(+1),,,,"[地]
佐々木洋",瀬戸竜男,8.0,202444060301,NAR
6,8,11,ガニュメデスレイ,牡7,54,鷹見陸,2:00.6,1,**,-,-,-,-,8-8-8-8,40.6,36.1,6,419(+5),,,,"[地]
渡辺和雄",（株）エラドゥーラ,,202444060301,NAR
7,5,5,ジョイスマイリー,牝4,54,瀬川将輝,2:01.2,3,**,-,-,-,-,10-10-10-10,40.5,186.4,9,444(-1),,,,"[地]
大宮和也",国重政信,,202444060301,NAR
8,4,4,マグレ,牝8,54,中村尚平,2:01.3,3/4,**,-,-,-,-,9-9-9-9,40.9,74.4,8,446(-13),,,,"[地]
庄子昭彦",酒井孝敏,,202444060301,NAR
9,6,7,ヴァイオイルステラ,牡5,55,菅原涼太,2:01.3,ハナ,**,-,-,-,-,5-5-6-6,42.0,246.6,11,490(+3),,,,"[地]
堀千亜樹",鈴木史郎,,202444060301,NAR
10,7,8,ジンバブジ,牝4,54,石川駿介,2:02.7,7,**,-,-,-,-,3-3-5-5,44.0,6.6,2,507(-9),,,,"[地]
庄子昭彦",酒井孝敏,,202444060301,NAR
11,2,2,グローリーエックス,セ6,56,山林堂信,2:03.8,5,**,-,-,-,-,11-11-11-11,41.7,245.2,10,510(+2),,,,"[地]
渡部則夫",白鳥久男,,202444060301,NAR
1,2,2,モデュレーション,牝3,54,矢野貴之,1:31.4,,**,-,-,-,-,7-4-4,39.5,6.9,4,411(+14),,,,"[地]
藤田輝信",吉田照哉,150.0,202444060302,NAR
2,4,4,ココナッツガーデン,セ3,56,藤本現暉,1:31.5,1/2,**,-,-,-,-,11-7-6,39.3,44.3,8,427(+1),,,,"[地]
荒山勝徳",太田匡哉,60.0,202444060302,NAR
3,7,11,リアンフォール,牡3,56,笹川翼,1:31.7,1,**,-,-,-,-,3-3-1,39.9,2.9,1,489(-3),,,,"[地]
米田英世",細谷典幸,37.5,202444060302,NAR
4,6,9,エイプリルストーム,牡3,54,鷹見陸,1:31.8,3/4,**,-,-,-,-,9-9-8,39.1,22.4,7,435(-6),,,,"[地]
佐宗応和",日下部勝徳,22.5,202444060302,NAR
5,7,10,ビッグヴァリーサン,牡3,56,藤田凌,1:32.2,2,**,-,-,-,-,2-1-1,40.5,3.7,2,542(+4),,,,"[地]
中道啓二",西田順彦,15.0,202444060302,NAR
6,8,12,ジャズスマイル,牡3,56,野畑凌,1:32.4,1.1/4,**,-,-,-,-,4-6-7,40.4,4.2,3,522(+4),,,,"[地]
中道啓二",森田高史,,202444060302,NAR
7,1,1,フライングモンキー,牡3,56,西啓太,1:32.9,2.1/2,**,-,-,-,-,4-4-5,41.0,21.0,6,434(-9),,,,"[地]
阪本一栄",（同）ＪＰＮ技研,,202444060302,NAR
8,4,5,ストライクノワール,牡3,56,和田譲治,1:33.3,2,**,-,-,-,-,10-11-11,40.0,9.0,5,482(-7),,,,"[地]
宗形竹見",藤本栄史,,202444060302,NAR
9,3,3,ハナノクロコ,牝3,51,田中洸多,1:33.8,2.1/2,**,-,-,-,-,1-1-3,42.1,103.9,10,434(0),,,,"[地]
荒井朋弘",田中忠商事（株）,,202444060302,NAR
10,5,7,エミリアエミリオ,牝3,52,谷内貫太,1:34.8,5,**,-,-,-,-,6-8-9,42.5,62.1,9,433(0),,,,"[地]
嶋田幸晴",森田高史,,202444060302,NAR
11,5,6,バデル,牡3,56,瀬川将輝,1:36.6,9,**,-,-,-,-,13-13-13,41.3,220.7,11,458(+3),,,,"[地]
村上頼章",（有）静内白井牧場,,202444060302,NAR
12,8,13,アバンテジュニア,牡3,53,高橋優,1:36.6,アタマ,**,-,-,-,-,8-10-10,43.7,318.5,13,429(-1),,,,"[地]
鷹見浩",扇原毅士,,202444060302,NAR
13,6,8,アドミラシオンカズ,牡3,56,仲原大生,1:38.2,8,**,-,-,-,-,12-12-12,43.1,255.4,12,489(-5),,,,"[地]
渡部則夫",（株）ＩＴＦ,,202444060302,NAR
1,6,8,スイヘイセン,牡3,56,藤田凌,1:17.0,,**,-,-,-,-,2-2,39.4,5.9,2,488(0),,,,"[地]
阪本一栄",三宅勝俊,150.0,202444060303,NAR
2,3,3,ヘルキャット,牝3,54,矢野貴之,1:17.6,3,**,-,-,-,-,8-6,39.2,1.2,1,444(0),,,,"[地]
藤田輝信",今村明浩,60.0,202444060303,NAR
3,8,13,プリティパンク,牝3,54,笹川翼,1:17.9,1.1/2,**,-,-,-,-,3-3,40.1,57.1,9,483(0),,,,"[地]
米田英世",エスペランサ（株）,37.5,202444060303,NAR
4,7,11,ケイアンプルール,セ3,56,達城龍次,1:18.0,1/2,**,-,-,-,-,5-5,39.9,15.9,4,427(-3),,,,"[地]
堀千亜樹",中西桂子,22.5,202444060303,NAR
5,5,6,タマゴカケゴハン,牝3,51,田中洸多,1:18.4,2,**,-,-,-,-,1-1,41.0,38.0,7,395(+4),,,,"[地]
小野寺晋",大塚謹吾,15.0,202444060303,NAR
6,2,2,ユウユウカグヤ,牝3,54,横川怜央,1:19.2,4,**,-,-,-,-,4-4,41.3,23.4,6,404(-6),,,,"[地]
佐々木忠",北原大史,,202444060303,NAR
7,7,10,スパイ,牡3,54,鷹見陸,1:19.2,アタマ,**,-,-,-,-,11-10,40.4,14.7,3,523(0),,,,"[地]
福永敏",石川達絵,,202444060303,NAR
8,4,4,アンロック,牝3,54,岡村健司,1:19.5,1.3/4,**,-,-,-,-,8-9,41.1,189.2,12,452(-3),,,,"[地]
佐宗応和",吉田郁実,,202444060303,NAR
9,4,5,ナオリュウオー,牝3,54,野畑凌,1:19.5,アタマ,**,-,-,-,-,12-12,40.7,51.7,8,457(-2),,,,"[地]
須田和伸",（有）しょうじ,,202444060303,NAR
10,6,9,ヤマショウクイーン,牝3,53,菅原涼太,1:19.6,1/2,**,-,-,-,-,6-8,41.4,22.2,5,435(-2),,,,"[地]
堀千亜樹",山下勇,,202444060303,NAR
11,8,12,マルヨリヴィエラ,牝3,51,高橋優,1:19.6,アタマ,**,-,-,-,-,13-13,40.0,276.5,13,449(-2),,,,"[地]
赤嶺本浩",野村春行,,202444060303,NAR
12,5,7,アミフジモアナ,牝3,54,大木天翔,1:19.8,1,**,-,-,-,-,7-7,41.4,121.1,11,479(+30),,,,"[地]
辻野豊",内藤正生,,202444060303,NAR
13,1,1,イングラッド,牡3,56,吉井章,1:21.8,10,**,-,-,-,-,10-11,43.3,74.9,10,556(+19),,,,"[地]
蛯名雄太",篠原賢二,,202444060303,NAR
1,3,3,ヴァンディヴェール,牡2,54,森泰斗,1:30.2,,**,-,-,-,-,1-1-1,38.2,2.3,2,466(0),,,,"[地]
福田真広",川上量生,450.0,202444060304,NAR
2,5,5,ノーブルジーク,牡2,54,笹川翼,1:30.7,2.1/2,**,-,-,-,-,2-2-2,38.7,2.0,1,490(0),,,,"[地]
佐野謙二",吉木伸彦,180.0,202444060304,NAR
3,2,2,バブリングストーン,牡2,54,矢野貴之,1:33.0,大,**,-,-,-,-,4-4-4,40.8,7.5,4,438(0),,,,"[地]
高橋清顕",（株）Ｔーｃｒｅｓ,112.5,202444060304,NAR
4,4,4,ネフェルトゥム,牡2,54,安藤洋一,1:33.1,1/2,**,-,-,-,-,3-3-3,41.0,7.2,3,500(0),,,,"[地]
佐宗応和",木谷哲,67.5,202444060304,NAR
5,1,1,ピエールアマゾン,牝2,54,藤田凌,1:35.8,大,**,-,-,-,-,5-5-5,42.8,23.9,5,443(0),,,,"[地]
中道啓二",工藤栄三,45.0,202444060304,NAR
6,6,6,アエノキングダム,牡2,54,吉井章,1:38.0,大,**,-,-,-,-,6-6-6,44.8,29.8,6,446(0),,,,"[地]
的場直之",角井紀夫,,202444060304,NAR
1,1,1,ミスタージョン,牡2,54,笹川翼,1:15.9,,**,-,-,-,-,3-1,39.6,1.2,1,478(0),,,,"[地]
森下淳平",鈴木雅俊,450.0,202444060305,NAR
2,5,5,ユルリ,牝2,54,矢野貴之,1:17.1,6,**,-,-,-,-,4-4,40.5,11.2,4,448(0),,,,"[地]
高野毅",（有）ミルファーム,180.0,202444060305,NAR
3,6,6,ラジアンドラゴン,牝2,54,達城龍次,1:17.8,3.1/2,**,-,-,-,-,1-3,41.5,5.8,2,448(0),,,,"[地]
立花伸",小林祥晃,112.5,202444060305,NAR
4,2,2,コーラルキング,牡2,54,吉井章,1:18.8,5,**,-,-,-,-,1-2,42.5,26.3,5,443(0),,,,"[地]
鈴木啓之",（株）丸若商事,67.5,202444060305,NAR
5,3,3,ワイズゴーゴー,牝2,54,安藤洋一,1:20.0,6,**,-,-,-,-,6-6,42.2,42.1,6,478(0),,,,"[地]
市村誠",馬目勇,45.0,202444060305,NAR
6,4,4,アストロノート,牡2,54,御神本訓,1:22.2,大,**,-,-,-,-,5-5,45.0,9.6,3,431(0),,,,"[地]
橋本和馬",島川隆哉,,202444060305,NAR
1,5,8,ケーリーバンド,牡3,56,西啓太,1:31.9,,**,-,-,-,-,3-1-1,41.5,1.4,1,451(+7),,,,"[地]
荒井朋弘",谷謙介,150.0,202444060306,NAR
2,4,5,サブノフクムスメ,牝3,54,篠谷葵,1:33.0,5,**,-,-,-,-,13-10-8,41.1,86.9,8,483(+1),,,,"[地]
堀千亜樹",中川三郎,60.0,202444060306,NAR
3,2,2,ヴァルドスター,牡3,56,山崎誠士,1:33.1,1/2,**,-,-,-,-,1-2-1,42.7,3.9,2,495(-2),,,,"[地]
小野寺晋",（有）ジェムインタ,37.5,202444060306,NAR
4,5,7,ポッドワイルド,牡3,56,笹川翼,1:34.3,6,**,-,-,-,-,4-6-7,42.7,16.1,4,481(0),,,,"[地]
田中正人",小川眞査雄,22.5,202444060306,NAR
5,8,14,ラストフロンティア,牡3,56,藤本現暉,1:34.3,アタマ,**,-,-,-,-,5-4-3,43.7,10.7,3,461(+4),,,,"[地]
村上頼章",酒井孝敏,15.0,202444060306,NAR
6,4,6,バストリカ,牝3,54,達城龍次,1:34.5,3/4,**,-,-,-,-,2-3-4,44.0,46.7,6,461(-2),,,,"[地]
荒山勝徳",吉田勝己,,202444060306,NAR
7,6,9,チェーロセレーノ,牝3,54,岡村健司,1:34.9,2,**,-,-,-,-,8-8-9,43.1,119.2,9,437(+17),,,,"[地]
渡辺和雄",和田正巳,,202444060306,NAR
8,3,4,アタミフラッシュ,牡3,54,鷹見陸,1:35.0,3/4,**,-,-,-,-,6-7-5,43.4,22.3,5,459(+1),,,,"[地]
栗田裕光",三宅重高,,202444060306,NAR
9,7,11,アメアガリ,牝3,54,石川駿介,1:35.3,1.3/4,**,-,-,-,-,12-9-10,43.4,47.7,7,469(+6),,,,"[地]
井上弘之",大東正由,,202444060306,NAR
10,3,3,サブノイブキ,牝3,54,吉井章,1:35.6,1.1/2,**,-,-,-,-,8-12-11,43.3,122.4,10,469(+2),,,,"[地]
阪本一栄",中川三郎,,202444060306,NAR
11,1,1,カラーパレット,牡3,54,谷内貫太,1:36.6,5,**,-,-,-,-,11-13-13,44.1,133.8,11,519(+4),,,,"[地]
嶋田幸晴",宮本昌彦,,202444060306,NAR
12,8,13,コンソルディーノ,牝3,51,高橋優,1:36.7,1/2,**,-,-,-,-,14-14-14,42.8,394.7,14,378(+7),,,,"[地]
村上頼章",吉田照哉,,202444060306,NAR
13,6,10,ゼネラルエメ,牝3,54,大木天翔,1:37.0,1.3/4,**,-,-,-,-,10-11-12,44.8,193.9,12,444(+2),,,,"[地]
渡部則夫",榊原勝好,,202444060306,NAR
14,7,12,ハンガンノキセキ,牡3,55,菅原涼太,1:37.1,クビ,**,-,-,-,-,7-5-6,45.7,211.8,13,471(-2),,,,"[地]
佐宗応和",清川孝徳,,202444060306,NAR
,1,1,ビジュー,牝3,54,矢野貴之,,,,-,-,-,-,,,---,,500(-8),,,,"[地]
荒山勝徳",（株）カナヤマホー,,202444060307,NAR
,2,2,スマイルチャンス,牝3,51,高橋優,,,,-,-,-,-,,,---,,426(-8),,,,"[地]
高橋清顕",（有）トニーステー,,202444060307,NAR
,2,3,シャンアリーズ,牝3,54,仲原大生,,,,-,-,-,-,,,---,,401(-3),,,,"[地]
佐藤壽",福永由文,,202444060307,NAR
,3,4,サブノセレブ,牝3,54,吉井章,,,,-,-,-,-,,,---,,550(+5),,,,"[地]
立花伸",中川三郎,,202444060307,NAR
,3,5,イキナリイイネ,牡3,56,瀬川将輝,,,,-,-,-,-,,,---,,420(0),,,,"[地]
高岩孝敏",遠藤喜和,,202444060307,NAR
,4,6,リアルマジェスティ,牝3,54,遠藤健太,,,,-,-,-,-,,,---,,470(+20),,,,"[地]
佐々木洋",蔀英二,,202444060307,NAR
,4,7,ジュレヴァー,牝3,54,篠谷葵,,,,-,-,-,-,,,---,,435(-7),,,,"[地]
高岩孝敏",西田順彦,,202444060307,NAR
,5,8,ロイロ,牡3,56,中村尚平,,,,-,-,-,-,,,---,,515(-5),,,,"[地]
栗田裕光",岩見昌弘,,202444060307,NAR
,5,9,ディバインウィル,牝3,54,安藤洋一,,,,-,-,-,-,,,---,,395(+1),,,,"[地]
立花伸",吉田照哉,,202444060307,NAR
,6,10,マイキーマックイン,セ3,56,岡村健司,,,,-,-,-,-,,,---,,414(-1),,,,"[地]
高橋清顕",小林誠,,202444060307,NAR
,6,11,ビッグヤシチルーフ,牡3,56,石川駿介,,,,-,-,-,-,,,---,,484(-9),,,,"[地]
井上弘之",大屋高広,,202444060307,NAR
,7,12,ピエールテネシー,牝3,52,谷内貫太,,,,-,-,-,-,,,---,,464(-1),,,,"[地]
佐々木洋",工藤栄三,,202444060307,NAR
,7,13,ラビリンスクィーン,牝3,54,野畑凌,,,,-,-,-,-,,,---,,402(+2),,,,"[地]
栗田裕光",酒井孝敏,,202444060307,NAR
,8,14,メーラドーロ,牝3,54,和田譲治,,,,-,-,-,-,,,---,,444(-1),,,,"[地]
久保杉隆",濱本泰彰,,202444060307,NAR
,8,15,エイコーカイザー,牡3,56,本村直樹,,,,-,-,-,-,,,---,,455(-7),,,,"[地]
高岩孝敏",山下一男,,202444060307,NAR
1,7,10,ヘウレシス,牝4,54,笹川翼,1:45.9,,**,-,-,-,-,4-4-5-4,41.8,15.9,5,446(-4),,,,"[地]
渡辺和雄",江馬由将,100.0,202444060308,NAR
2,1,1,ラモラック,牡4,56,西啓太,1:45.9,アタマ,**,-,-,-,-,9-9-3-3,42.0,1.5,1,553(+39),,,,"[地]
佐宗応和",前田幸治,40.0,202444060308,NAR
3,2,2,スーパークール,セ4,56,本田正重,1:46.4,2.1/2,**,-,-,-,-,1-1-1-1,42.8,5.2,2,486(0),,,,"[地]
中道啓二",冨谷昌弘,25.0,202444060308,NAR
4,5,7,エムオースイート,牝5,54,福原杏,1:46.7,1.1/2,**,-,-,-,-,11-11-10-9,41.6,86.6,8,472(0),,,,"[地]
堀江仁",鈴木伸哉,15.0,202444060308,NAR
5,4,4,ビーザチェンジ,牡8,56,岡村健司,1:46.8,3/4,**,-,-,-,-,8-7-7-5,42.5,7.0,3,519(+8),,,,"[地]
吉井竜一",（有）馬の友舎,10.0,202444060308,NAR
6,7,11,エイシンペリドット,牝4,54,大木天翔,1:47.5,3.1/2,**,-,-,-,-,3-3-1-2,43.9,157.2,11,479(+7),,,,"[地]
小野寺晋",川上和彦,,202444060308,NAR
7,8,13,ウォーバックス,セ6,56,達城龍次,1:47.9,2,**,-,-,-,-,6-5-6-7,43.9,10.4,4,469(0),,,,"[地]
遠藤茂",今中俊平,,202444060308,NAR
8,6,8,ラインガウディ,牡4,56,野畑凌,1:48.0,1/2,**,-,-,-,-,13-13-13-12,42.1,92.1,10,459(-4),,,,"[地]
鷹見浩",大澤繁昌,,202444060308,NAR
9,4,5,ガンマハーベ,牡4,55,菅原涼太,1:48.1,クビ,**,-,-,-,-,7-7-8-8,43.8,88.9,9,562(+5),,,,"[地]
小野寺晋",（有）ジェムインタ,,202444060308,NAR
10,3,3,ギャレットルレーヴ,セ4,56,和田譲治,1:48.3,3/4,**,-,-,-,-,5-6-9-10,43.7,28.6,7,463(+8),,,,"[地]
佐野謙二",仲尾正人,,202444060308,NAR
11,6,9,ノビシロ,セ4,56,東原悠善,1:48.3,クビ,**,-,-,-,-,2-2-4-6,44.5,25.4,6,533(-6),,,,"[地]
赤嶺本浩",豊島愛子,,202444060308,NAR
12,5,6,カットビホッキマン,セ4,56,瀬川将輝,1:48.3,クビ,**,-,-,-,-,10-10-11-11,43.4,183.2,12,416(0),,,,"[地]
久保杉隆",小野寺悠太,,202444060308,NAR
13,8,12,ミハルンルン,牝4,54,本村直樹,1:49.8,7,**,-,-,-,-,12-12-12-13,44.7,240.0,13,459(-5),,,,"[地]
高岩孝敏",八巻弘一,,202444060308,NAR
1,5,8,ネオメガミ,牝4,54,藤田凌,1:14.5,,**,-,-,-,-,2-2,38.2,1.3,1,492(-4),,,,"[地]
立花伸",西田俊二,100.0,202444060309,NAR
2,6,10,ハースファイア,セ6,56,森泰斗,1:15.7,6,**,-,-,-,-,3-3,39.2,4.5,2,437(+4),,,,"[地]
栗田泰昌",酒井孝敏,40.0,202444060309,NAR
3,2,2,ボイド,牡4,56,大木天翔,1:16.0,1.1/2,**,-,-,-,-,1-1,40.0,10.1,3,480(+1),,,,"[地]
橋本和馬",和田博美,25.0,202444060309,NAR
4,3,4,ゴールドブレイン,牡6,56,藤本現暉,1:16.6,3,**,-,-,-,-,8-8,39.0,22.3,4,504(-2),,,,"[地]
蛯名雄太",相原一徳,15.0,202444060309,NAR
5,5,7,アンタゴニスタ,牡5,53,田中洸多,1:16.8,1,**,-,-,-,-,7-7,39.4,34.9,7,490(-2),,,,"[地]
小野寺晋",梶原哲朗,10.0,202444060309,NAR
6,8,14,オノノウマコ,牝4,54,石川駿介,1:16.9,クビ,**,-,-,-,-,5-5,39.8,102.4,11,424(-7),,,,"[地]
阪本一栄",伊藤温,,202444060309,NAR
7,7,12,キセキニャン,牝4,54,本橋孝太,1:17.0,1/2,**,-,-,-,-,9-10,38.9,27.6,6,446(+3),,,,"[地]
栗田裕光",酒井孝敏,,202444060309,NAR
8,4,6,トゥジアース,牡5,56,篠谷葵,1:17.0,アタマ,**,-,-,-,-,11-11,38.7,27.6,5,509(-4),,,,"[地]
高岩孝敏",北原大史,,202444060309,NAR
9,3,3,メイショウマクフィ,牡5,56,増田充宏,1:17.3,1.1/2,**,-,-,-,-,6-6,39.9,99.4,10,442(+5),,,,"[地]
栗田泰昌",酒井孝敏,,202444060309,NAR
10,8,13,オーシンアズキ,牡5,54,鷹見陸,1:17.4,1/2,**,-,-,-,-,9-9,39.4,50.9,8,465(-5),,,,"[地]
朝倉実",大田慎治,,202444060309,NAR
11,7,11,サンルクリア,牝4,54,本村直樹,1:17.7,1.3/4,**,-,-,-,-,4-4,40.8,180.2,12,468(-1),,,,"[地]
高岩孝敏",豊島愛子,,202444060309,NAR
12,4,5,ケイグンノイッカク,牝4,52,谷内貫太,1:18.2,2.1/2,**,-,-,-,-,13-12,39.5,61.6,9,425(0),,,,"[地]
嶋田幸晴",志水祐彦,,202444060309,NAR
13,6,9,サスガダネ,牡4,55,菅原涼太,1:18.6,2,**,-,-,-,-,12-13,40.2,220.8,13,484(+2),,,,"[地]
辻野豊",川島倉男,,202444060309,NAR
14,1,1,バトルスカーズ,牡5,56,東原悠善,1:19.3,3.1/2,**,-,-,-,-,14-14,40.3,242.9,14,490(-14),,,,"[地]
庄子昭彦",豊島愛子,,202444060309,NAR
1,5,7,アイミーハイティー,牝5,54,野畑凌,1:58.1,,**,-,-,-,-,1-1-1-1,40.6,10.1,3,492(0),,,,"[地]
佐野謙二",今木隆彦,180.0,202444060310,NAR
2,6,8,トランセンデンタル,牡6,56,藤田凌,1:59.4,6,**,-,-,-,-,2-2-2-2,41.8,20.1,6,473(-1),,,,"[地]
阪本一栄",三宅勝俊,72.0,202444060310,NAR
3,4,4,サウンドズーム,牡4,56,達城龍次,1:59.8,2,**,-,-,-,-,6-6-4-4,41.8,1.6,1,486(-1),,,,"[地]
鈴木啓之",会田裕一,45.0,202444060310,NAR
4,3,3,ブルベアナノ,牡7,56,吉井章,1:59.9,1/2,**,-,-,-,-,9-9-5-5,41.7,14.2,5,506(+1),,,,"[地]
松浦裕之",三岡陽,27.0,202444060310,NAR
5,5,6,ケンコウ,牡4,54,鷹見陸,2:00.2,1.1/2,**,-,-,-,-,10-11-9-8,41.2,4.2,2,499(-5),,,,"[地]
辻野豊",榊原勝好,18.0,202444060310,NAR
6,6,9,ベストリオン,牡5,56,福原杏,2:00.6,2,**,-,-,-,-,7-7-7-7,42.0,29.9,7,480(+3),,,,"[地]
橋本和馬",沖田正憲,,202444060310,NAR
7,4,5,キャリーラック,牡5,56,横川怜央,2:00.7,クビ,**,-,-,-,-,8-8-10-10,41.7,36.4,8,497(-2),,,,"[地]
鈴木啓之",（有）馬の友舎,,202444060310,NAR
8,8,12,イタリアンゴールド,セ6,56,矢野貴之,2:00.9,1,**,-,-,-,-,3-4-8-9,42.1,11.1,4,434(0),,,,"[地]
市村誠",増田和啓,,202444060310,NAR
9,8,13,ブレストサンダー,牡4,56,安藤洋一,2:00.9,ハナ,**,-,-,-,-,12-12-12-12,41.2,53.1,9,482(-2),,,,"[地]
松浦裕之",梅ケ枝容晃,,202444060310,NAR
10,7,10,ウイントルヴェール,牡4,56,中村尚平,2:02.1,6,**,-,-,-,-,5-5-2-3,44.5,166.5,10,443(-4),,,,"[地]
庄子昭彦",酒井孝敏,,202444060310,NAR
11,1,1,シャムトラダイコウ,牝5,54,古岡勇樹,2:04.1,10,**,-,-,-,-,11-10-11-11,44.7,244.5,11,497(-5),,,,"[地]
遠藤茂",西村静子,,202444060310,NAR
12,2,2,エスシーマゼラン,牡4,56,遠藤健太,2:04.9,4,**,-,-,-,-,4-3-6-6,46.5,350.9,12,493(-6),,,,"[地]
佐々木忠",三岡有香,,202444060310,NAR
取,7,11,モッテルネ,牝5,51,高橋優,,,,-,-,-,-,,,---,,計不,,,,"[地]
堀江仁",鈴木伸哉,,202444060310,NAR
1,2,2,ドレスドトゥーキル,牡5,56,安藤洋一,1:14.0,,**,-,-,-,-,1-1,38.4,2.9,1,501(+3),,,,"[地]
米田英世",田記正規,380.0,202444060311,NAR
2,6,8,シザーハンズ,牝7,54,西啓太,1:14.0,アタマ,**,-,-,-,-,3-3,38.3,6.6,4,494(-2),,,,"[地]
櫻木英喜",村田裕子,152.0,202444060311,NAR
3,8,11,ニシノラーナ,牝5,54,森泰斗,1:14.1,3/4,**,-,-,-,-,4-4,38.1,3.5,2,504(+8),,,,"[地]
市村誠",西山茂行,95.0,202444060311,NAR
4,7,10,グロリアスセプター,牡5,56,笹川翼,1:14.9,4,**,-,-,-,-,7-8,38.5,16.1,5,461(-5),,,,"[地]
福永敏",野田善己,57.0,202444060311,NAR
5,8,12,ケンマキシム,牡4,56,矢野貴之,1:15.0,1/2,**,-,-,-,-,10-10,37.9,4.3,3,505(-2),,,,"[地]
高橋清顕",（株）エスティ,38.0,202444060311,NAR
6,3,3,マンティコア,牡4,53,高橋優,1:15.0,アタマ,**,-,-,-,-,7-7,38.6,19.7,7,532(0),,,,"[地]
堀千亜樹",前田幸治,,202444060311,NAR
7,1,1,フォルツァ,牝5,54,吉井章,1:15.2,1,**,-,-,-,-,1-2,39.6,16.9,6,425(-8),,,,"[地]
井上弘之",北嶋義三,,202444060311,NAR
8,5,6,カクシン,牡7,55,菅原涼太,1:15.5,1.1/2,**,-,-,-,-,9-9,38.8,37.7,8,529(-6),,,,"[地]
堀千亜樹",風早信昭,,202444060311,NAR
9,4,4,ハナノウタ,牝4,54,藤田凌,1:15.7,1,**,-,-,-,-,5-4,39.7,103.4,11,471(-2),,,,"[地]
阪本一栄",三岡有香,,202444060311,NAR
10,5,5,アウトパフォーム,セ5,56,和田譲治,1:15.7,クビ,**,-,-,-,-,6-6,39.6,54.9,9,431(-1),,,,"[地]
月岡健二",鈴木昌樹,,202444060311,NAR
